File               DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
---------------  -----  -----  --------------  -----------  -------  ---------------  ---------------  ------------  ------------  ----  -----
S02_U01          79.38  81.84            0.11         0.37     0.17             0.08             0.03          3.55          1.71  0.24   0.09
S02_U02          79.84  81.02            0.11         0.35     0.17             0.08             0.03          3.52          1.84  0.27   0.10
S02_U03          76.36  77.90            0.12         0.34     0.18             0.12             0.04          3.42          2.01  0.37   0.12
S02_U04          73.78  74.92            0.12         0.35     0.18             0.12             0.04          3.42          1.86  0.36   0.12
S02_U05          79.69  80.07            0.12         0.31     0.17             0.08             0.04          3.47          2.15  0.31   0.10
S02_U06          75.97  77.27            0.12         0.33     0.17             0.10             0.04          3.46          1.92  0.32   0.11
S03_U01          83.44  85.37            0.25         0.46     0.33             0.17             0.10          2.62          1.76  0.33   0.13
S03_U02          82.97  84.35            0.24         0.49     0.32             0.15             0.08          2.66          1.56  0.29   0.12
S03_U03          84.03  84.30            0.26         0.44     0.32             0.16             0.10          2.60          1.87  0.34   0.13
S03_U04          84.58  86.72            0.24         0.50     0.33             0.17             0.08          2.65          1.53  0.29   0.13
S03_U05          81.22  83.77            0.25         0.49     0.33             0.18             0.09          2.62          1.55  0.32   0.14
S03_U06          85.27  85.05            0.25         0.47     0.33             0.14             0.09          2.62          1.80  0.33   0.13
S04_U01          90.13  90.00            0.15         0.53     0.23             0.07             0.02          3.27          1.31  0.11   0.05
S04_U02          86.59  87.73            0.16         0.45     0.24             0.10             0.04          3.21          1.51  0.16   0.07
S04_U03          90.73  89.97            0.15         0.53     0.23             0.06             0.02          3.27          1.35  0.11   0.05
S04_U04          88.92  89.70            0.16         0.51     0.24             0.10             0.03          3.23          1.33  0.14   0.06
S04_U05          86.32  89.36            0.17         0.50     0.26             0.15             0.05          3.17          1.35  0.20   0.09
S04_U06          86.32  87.76            0.17         0.45     0.25             0.12             0.05          3.17          1.51  0.20   0.08
S05_U01          82.87  85.53            0.18         0.48     0.26             0.13             0.04          2.99          1.38  0.22   0.10
S05_U02          85.31  87.19            0.17         0.51     0.26             0.11             0.04          3.01          1.30  0.20   0.09
S05_U04          86.13  84.97            0.19         0.40     0.26             0.09             0.05          2.96          1.95  0.23   0.09
S05_U05          82.60  85.46            0.18         0.45     0.26             0.12             0.05          3.00          1.46  0.21   0.09
S05_U06          78.26  80.31            0.20         0.43     0.27             0.13             0.07          2.94          1.58  0.28   0.11
S06_U01          84.36  86.10            0.16         0.51     0.25             0.08             0.03          3.04          1.33  0.18   0.08
S06_U02          72.67  75.64            0.22         0.39     0.28             0.15             0.10          2.81          1.65  0.41   0.16
S06_U03          83.25  85.56            0.16         0.49     0.25             0.10             0.04          3.05          1.31  0.17   0.08
S06_U04          85.44  85.12            0.19         0.39     0.26             0.10             0.07          2.91          1.94  0.31   0.12
S06_U05          84.01  87.83            0.16         0.48     0.24             0.10             0.03          3.04          1.36  0.18   0.08
S06_U06          89.00  90.40            0.15         0.58     0.24             0.07             0.02          3.11          1.16  0.11   0.05
S07_U01          93.62  93.68            0.15         0.66     0.24             0.03             0.01          3.05          0.92  0.03   0.02
S07_U02          94.38  94.44            0.15         0.68     0.24             0.03             0.00          3.05          0.82  0.03   0.02
S07_U03          87.57  88.36            0.17         0.50     0.26             0.06             0.03          2.94          1.39  0.14   0.07
S07_U04          88.80  88.85            0.17         0.51     0.26             0.05             0.03          2.96          1.47  0.13   0.06
S07_U05          89.96  90.08            0.17         0.53     0.26             0.05             0.03          2.94          1.43  0.14   0.06
S07_U06          86.06  88.07            0.17         0.51     0.26             0.07             0.03          2.94          1.29  0.15   0.07
S08_U01          91.99  91.98            0.10         0.55     0.17             0.03             0.01          3.61          1.39  0.07   0.03
S08_U02          86.62  86.30            0.12         0.37     0.18             0.07             0.03          3.45          2.01  0.23   0.08
S08_U03          90.37  89.82            0.12         0.45     0.19             0.05             0.03          3.50          1.85  0.18   0.07
S08_U04          84.11  84.34            0.12         0.42     0.19             0.07             0.03          3.47          1.71  0.21   0.08
S08_U05          90.26  90.00            0.12         0.48     0.19             0.04             0.03          3.54          1.63  0.15   0.06
S08_U06          91.53  91.68            0.10         0.53     0.17             0.03             0.01          3.62          1.44  0.07   0.03
S09_U01          85.43  86.63            0.14         0.47     0.22             0.09             0.03          3.36          1.53  0.15   0.06
S09_U02          86.46  89.50            0.14         0.50     0.22             0.11             0.03          3.37          1.23  0.14   0.06
S09_U03          85.24  88.86            0.14         0.48     0.22             0.12             0.03          3.35          1.31  0.16   0.07
S09_U04          82.69  84.20            0.15         0.44     0.23             0.11             0.04          3.30          1.61  0.21   0.08
S09_U06          86.00  87.45            0.15         0.46     0.22             0.10             0.04          3.33          1.62  0.18   0.07
S12_U01          79.20  78.99            0.36         0.54     0.43             0.19             0.15          2.16          1.37  0.39   0.19
S12_U02          81.00  80.81            0.34         0.55     0.42             0.17             0.13          2.21          1.32  0.34   0.17
S12_U03          86.96  85.70            0.31         0.60     0.41             0.12             0.09          2.30          1.22  0.24   0.13
S12_U04          74.80  75.34            0.38         0.54     0.44             0.22             0.18          2.09          1.38  0.46   0.21
